Dataset	Variable stem	Variable	Variable label	Current topic	Topic label	New topic
us8_h_youth	yphmwkwho5	h_yphmwkwho5	Any non-relative living with you	10812	School engagement	107
us6_f_youth	yphmwkwho5	f_yphmwkwho5	any non-relative living with you	10812	School engagement	107
us4_d_youth	yphmwkwho5	d_yphmwkwho5	any non-relative living with you	107	Family and social networks	107
us2_b_youth	yphmwkwho5	b_yphmwkwho5	any non-relative living with you	107	Family and social networks	107
us1_a_hhresp	cdephave1	a_cdephave1	children have family holidays	107	Family and social networks	107
us4_d_youth	 ypapar	d_ypapar	at what age do you want to start a family?	110	Expectations, attitudes and beliefs	110
us4_d_youth	 ypamar	d_ypamar	at what age do you want to get married?	110	Expectations, attitudes and beliefs	110
us5_e_newborn	 nbclmprb	e_nbclmprb	problems calming child	111	Child development	111
us8_h_newborn	 nbwakes	h_nbwakes	Reasons for not attending school in June/July - child a - other	 no_topic	Education (CV19)	111
us8_h_newborn	 nbsleep	h_nbsleep	looking after child(ren)	 no_topic	Administration	111
us8_h_newborn	 nbfuss	h_nbfuss	miles driven last 12 months	 no_topic	Travel and transport	111
us8_h_newborn	 nbclmprb	h_nbclmprb	religion affects schooling decisions	 no_topic	Religion	111
us8_h_newborn	 bwtel	h_bwtel	Why not consented to serology - Takes too much time	 no_topic	Administration (CV19)	111
us1_a_natchild	 bwtel	a_bwtel	child born early or late	10320	Anthropometry	111
us7_g_newborn	 nbwakes	g_nbwakes	Number of times child wakes at night	111	Child development	111
us7_g_newborn	 nbsleep	g_nbsleep	Time for child to settle into sleep	111	Child development	111
us7_g_newborn	 nbfuss	g_nbfuss	Amount of fussing or crying	111	Child development	111
us7_g_newborn	 nbclmprb	g_nbclmprb	Problems calming child	111	Child development	111
us7_g_newborn	 bwtel	g_bwtel	Child born early or late	111	Child development	111
us6_f_newborn	 nbwakes	f_nbwakes	number of times child wakes at night	111	Child development	111
us6_f_newborn	 nbsleep	f_nbsleep	time for child to settle into sleep	111	Child development	111
us6_f_newborn	 nbfuss	f_nbfuss	amount of fussing or crying	111	Child development	111
us6_f_newborn	 nbclmprb	f_nbclmprb	problems calming child	111	Child development	111
us6_f_newborn	 bwtel	f_bwtel	child born early or late	111	Child development	111
us5_e_newborn	 nbwakes	e_nbwakes	number of times child wakes at night	111	Child development	111
us5_e_newborn	 nbsleep	e_nbsleep	time for child to settle into sleep	111	Child development	111
us5_e_newborn	 nbfuss	e_nbfuss	amount of fussing or crying	111	Child development	111
us5_e_newborn	 bwtel	e_bwtel	child born early or late	111	Child development	111
us4_d_newborn	 nbwakes	d_nbwakes	number of times child wakes at night	111	Child development	111
us4_d_newborn	 nbsleep	d_nbsleep	time for child to settle into sleep	111	Child development	111
us4_d_newborn	 nbfuss	d_nbfuss	amount of fussing or crying	111	Child development	111
us4_d_newborn	 nbclmprb	d_nbclmprb	problems calming child	111	Child development	111
us4_d_newborn	 bwtel	d_bwtel	child born early or late	111	Child development	111
us3_c_newborn	 nbwakes	c_nbwakes	number of times child wakes at night	111	Child development	111
us3_c_newborn	 nbsleep	c_nbsleep	time for child to settle into sleep	111	Child development	111
us3_c_newborn	 nbfuss	c_nbfuss	amount of fussing or crying	111	Child development	111
us3_c_newborn	 nbclmprb	c_nbclmprb	problems calming child	111	Child development	111
us3_c_newborn	 bwtel	c_bwtel	child born early or late	111	Child development	111
us2_b_newborn	 bwtel	b_bwtel	child born early or late	111	Child development	111
us8_h_indresp	endmnth4	h_endmnth4	pregnancy 4: Month pregnancy ended if not live birth	11402	Infant mortality	114
us8_h_newborn	 bwtxp	h_bwtxp	Offered school in June/July - childe	 no_topic	Education (CV19)	114
us8_h_newborn	 bwtwk	h_bwtwk	How often sees non-resident parent during term-time	 no_topic	Parenting	114
us7_g_newborn	 bwtxp	g_bwtxp	Child born when expected	111	Child development	114
us7_g_newborn	 bwtwk	g_bwtwk	Weeks early or late	111	Child development	114
us6_f_indresp	endmnth4	f_endmnth4	pregnancy 4: month pregnancy ended if not live birth	11402	Infant mortality	114
us6_f_newborn	 bwtxp	f_bwtxp	child born when expected	111	Child development	114
us6_f_newborn	 bwtwk	f_bwtwk	weeks early or late	111	Child development	114
us5_e_newborn	 bwtxp	e_bwtxp	child born when expected	111	Child development	114
us5_e_newborn	 bwtwk	e_bwtwk	weeks early or late	111	Child development	114
us4_d_newborn	 bwtxp	d_bwtxp	child born when expected	111	Child development	114
us4_d_newborn	 bwtwk	d_bwtwk	weeks early or late	111	Child development	114
us3_c_newborn	 bwtxp	c_bwtxp	child born when expected	111	Child development	114
us3_c_newborn	 bwtwk	c_bwtwk	weeks early or late	111	Child development	114
us2_b_indresp	endmnth4	b_endmnth4	pregnancy 4: month pregnancy ended if not live birth	11402	Infant mortality	114
us2_b_newborn	 bwtxp	b_bwtxp	child born when expected	111	Child development	114
us2_b_newborn	 bwtwk	b_bwtwk	weeks early or late	111	Child development	114
us1_a_natchild	 bwtxp	a_bwtxp	child born when expected	10320	Anthropometry	114
us1_a_natchild	 bwtwk	a_bwtwk	weeks early or late	10320	Anthropometry	114
us4_d_indresp	endmnth4	d_endmnth4	pregnancy 4: month pregnancy ended if not live birth	114	Pregnancy	114
cd_schild_w	 c	pidpcorrected_c	Corrected pidp - DOB/sex did not match sample data	11615	Administration (CV19)	115
cd_schild_w	 c	pidpcorrected_c	Corrected pidp - DOB/sex did not match sample data	11615	Administration (CV19)	115
ca_schild_w	 m	pidp_m	Cross-wave Person Identifier, main female adult/guardian/'mother'	 no_topic	Administration (CV19)	115
ch_schild_w	 m	pidp_m	Cross-wave Person Identifier, main female adult/guardian/'mother'	11615	Administration (CV19)	115
cf_schild_t	 m	pidp_m	Cross-wave Person Identifier, main female adult/guardian/'mother'	11615	Administration (CV19)	115
ce_schild_w	 m	pidp_m	Cross-wave Person Identifier, main female adult/guardian/'mother'	11615	Administration (CV19)	115
cf_schild_w	 m	pidp_m	Cross-wave Person Identifier, main female adult/guardian/'mother'	11615	Administration (CV19)	115
cd_schild_w	 m	pidp_m	Cross-wave Person Identifier, main female adult/guardian/'mother'	11615	Administration (CV19)	115
cg_schild_w	 m	pidp_m	Cross-wave Person Identifier, main female adult/guardian/'mother'	11615	Administration (CV19)	115
ca_schild_w	 f	pidp_f	b_grip_mmgsprb_1 (duration in secs)	 no_topic	Musculoskeletal system	115
ch_schild_w	 f	pidp_f	Cross-wave Person Identifier, main male adult/guardian/'father'	11615	Administration (CV19)	115
cf_schild_w	 f	pidp_f	Cross-wave Person Identifier, main male adult/guardian/'father'	11615	Administration (CV19)	115
ce_schild_w	 f	pidp_f	Cross-wave Person Identifier, main male adult/guardian/'father'	11615	Administration (CV19)	115
cf_schild_t	 f	pidp_f	Cross-wave Person Identifier, main male adult/guardian/'father'	11615	Administration (CV19)	115
cd_schild_w	 f	pidp_f	Cross-wave Person Identifier, main male adult/guardian/'father'	11615	Administration (CV19)	115
cg_schild_w	 f	pidp_f	Cross-wave Person Identifier, main male adult/guardian/'father'	11615	Administration (CV19)	115
cd_youth_p	 c	pidp_c	car no.1: Main driver of car	 no_topic	Travel and transport	115
ca_schild_w	 c	pidp_c	Origin of child's pidp	 no_topic	Administration (CV19)	115
ch_youth_p	 c	pidp_c	Cross-wave Person Identifier, child	 no_topic	Administration (CV19)	115
cd_youth_p	 c	pidp_c	car no.1: Main driver of car	 no_topic	Travel and transport	115
ca_schild_w	 c	pidp_c	Origin of child's pidp	 no_topic	Administration (CV19)	115
ch_youth_p	 c	pidp_c	Cross-wave Person Identifier, child	 no_topic	Administration (CV19)	115
ch_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
cd_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
cf_schild_t	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
cf_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
cf_youth_p	 c	pidp_c	Cross-wave Person Identifier (Public Release)	11615	Administration (CV19)	115
cg_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
ce_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
ch_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
cd_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
cf_schild_t	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
cf_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
cf_youth_p	 c	pidp_c	Cross-wave Person Identifier (Public Release)	11615	Administration (CV19)	115
cg_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
ce_schild_w	 c	pidp_c	Cross-wave Person Identifier, child	11615	Administration (CV19)	115
ca_schild_w	 c	newpidp_c	Origin of child's pidp	 no_topic	Administration (CV19)	115
ca_schild_w	 c	newpidp_c	Origin of child's pidp	 no_topic	Administration (CV19)	115
cf_schild_t	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
cf_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
cg_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
cd_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
ch_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
ce_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
cf_schild_t	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
cf_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
cg_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
cd_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
ch_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
ce_schild_w	 c	newpidp_c	Origin of child's pidp	11615	Administration (CV19)	115
cb_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cd_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ca_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ch_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cc_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_t	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cg_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ce_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cd_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ca_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ch_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cc_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_t	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cg_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ce_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cd_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ca_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ch_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cc_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_t	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cg_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ce_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cd_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ca_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ch_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cc_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_t	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cg_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
ce_indresp_w	 ioutcome	k_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ch_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_t	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ce_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cc_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cd_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cg_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ca_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_t	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ch_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_t	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ce_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cc_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cd_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cg_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ca_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_t	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ch_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_t	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ce_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cc_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cd_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cg_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ca_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_t	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ch_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_t	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ce_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cc_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cd_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cg_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ca_indresp_w	 hidp	k_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_t	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ce_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ca_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cg_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cd_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cc_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ch_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_t	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ce_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ca_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cg_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cd_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cc_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ch_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_t	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ce_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ca_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cg_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cd_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cc_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ch_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cb_indresp_t	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_t	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ce_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ca_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cg_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cd_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cc_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
ch_indresp_w	 ioutcome	j_ioutcome	Individual outcome	11615	Administration (CV19)	115
cf_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cd_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_t	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ca_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ch_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_t	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cg_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ce_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cc_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cd_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_t	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ca_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ch_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_t	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cg_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ce_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cc_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cd_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_t	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ca_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ch_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_t	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cg_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ce_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cc_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cf_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cd_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
cb_indresp_t	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
ca_indresp_w	 hidp	j_hidp	Household Identifier (Public Release)	11615	Administration (CV19)	115
